Timestamp,Instrument,Bid Price,Bid Volume,Ask Price,Ask Volume
11:43:08,ESX-FUTURE,3358.5,2032,3358.75,1441
11:43:08,SP-FUTURE,2912.25,1439,2912.5,130
11:43:09,SP-FUTURE,2912.5,1191,2912.75,378
11:43:09,ESX-FUTURE,3358.75,1571,3359.0,1902
11:43:10,ESX-FUTURE,3358.75,2697,3359.0,776
11:43:10,SP-FUTURE,2912.25,1249,2912.5,320
11:43:11,SP-FUTURE,2912.25,407,2912.5,1162
11:43:11,ESX-FUTURE,3358.75,2573,3359.0,900
11:43:12,ESX-FUTURE,3358.75,2577,3359.0,896
11:43:13,SP-FUTURE,2912.0,738,2912.25,831
11:43:14,ESX-FUTURE,3358.75,763,3359.0,2710
11:43:14,SP-FUTURE,2911.75,871,2912.0,698
11:43:15,SP-FUTURE,2911.75,438,2912.0,1131
11:43:16,ESX-FUTURE,3358.5,881,3358.75,2592
11:43:16,ESX-FUTURE,3358.25,1279,3358.5,2194
11:43:16,SP-FUTURE,2911.5,1032,2911.75,537
11:43:16,ESX-FUTURE,3358.0,3249,3358.25,224
11:43:17,SP-FUTURE,2911.5,1033,2911.75,536
11:43:17,ESX-FUTURE,3358.0,129,3358.25,3344
11:43:17,SP-FUTURE,2911.5,1007,2911.75,562
11:43:18,ESX-FUTURE,3356.25,2146,3356.5,1327
11:43:19,SP-FUTURE,2912.25,1099,2912.5,470
11:43:19,ESX-FUTURE,3356.25,2050,3356.5,1423
11:43:20,SP-FUTURE,2912.25,213,2912.5,1356
11:43:20,ESX-FUTURE,3356.25,848,3356.5,2625
11:43:20,ESX-FUTURE,3356.25,848,3356.5,2625
11:43:21,SP-FUTURE,2912.0,650,2912.25,919
11:43:21,SP-FUTURE,2911.75,301,2912.0,1268
11:43:22,ESX-FUTURE,3356.0,2764,3356.25,709
11:43:22,SP-FUTURE,2911.5,122,2911.75,1447
11:43:22,SP-FUTURE,2911.5,123,2911.75,1446
11:43:23,ESX-FUTURE,3356.0,2564,3356.25,909
11:43:23,SP-FUTURE,2911.5,1529,2911.75,40
11:43:24,ESX-FUTURE,3356.0,2568,3356.25,905
11:43:24,SP-FUTURE,2911.75,1304,2912.0,265
11:43:25,ESX-FUTURE,3356.0,2755,3356.25,718
11:43:25,SP-FUTURE,2911.75,769,2912.0,800
11:43:26,ESX-FUTURE,3356.0,3169,3356.25,304
11:43:26,SP-FUTURE,2911.75,1158,2912.0,411
11:43:27,ESX-FUTURE,3356.25,2826,3356.5,647
11:43:27,SP-FUTURE,2910.75,1021,2911.0,548
11:43:28,ESX-FUTURE,3355.25,2367,3355.5,1106
11:43:28,SP-FUTURE,2910.5,639,2910.75,930
11:43:29,ESX-FUTURE,3355.25,3466,3355.5,7
11:43:30,SP-FUTURE,2910.5,535,2910.75,1034
11:43:30,SP-FUTURE,2910.5,522,2910.75,1047
11:43:31,ESX-FUTURE,3355.75,387,3356.0,3086
11:43:32,SP-FUTURE,2910.5,1043,2910.75,526
11:43:32,ESX-FUTURE,3355.0,576,3355.25,2897
11:43:33,SP-FUTURE,2910.5,683,2910.75,886
11:43:33,ESX-FUTURE,3354.25,1456,3354.5,2017
11:43:33,SP-FUTURE,2910.25,1408,2910.5,161
11:43:34,SP-FUTURE,2910.25,1536,2910.5,33
11:43:34,ESX-FUTURE,3354.25,1505,3354.5,1968
11:43:35,SP-FUTURE,2910.5,1206,2910.75,363
11:43:36,ESX-FUTURE,3354.25,914,3354.5,2559
11:43:36,ESX-FUTURE,3354.25,138,3354.5,3335
11:43:37,SP-FUTURE,2910.5,1263,2910.75,306
11:43:37,ESX-FUTURE,3353.75,2980,3354.0,493
11:43:38,SP-FUTURE,2910.5,1552,2910.75,17
11:43:38,ESX-FUTURE,3353.75,2986,3354.0,487
11:43:39,SP-FUTURE,2910.75,455,2911.0,1114
11:43:39,ESX-FUTURE,3354.25,57,3354.5,3416
11:43:40,SP-FUTURE,2910.75,501,2911.0,1068
11:43:40,ESX-FUTURE,3354.0,609,3354.25,2864
11:43:41,SP-FUTURE,2910.5,1181,2910.75,388
11:43:41,ESX-FUTURE,3354.25,1996,3354.5,1477
11:43:42,SP-FUTURE,2911.25,605,2911.5,964
11:43:43,ESX-FUTURE,3354.0,3434,3354.25,39
11:43:43,ESX-FUTURE,3354.0,1790,3354.25,1683
11:43:44,SP-FUTURE,2911.25,1098,2911.5,471
11:43:45,SP-FUTURE,2911.5,287,2911.75,1282
11:43:46,ESX-FUTURE,3354.0,3078,3354.25,395
11:43:46,SP-FUTURE,2911.25,190,2911.5,1379
11:43:47,ESX-FUTURE,3354.0,2502,3354.25,971
11:43:48,SP-FUTURE,2911.5,213,2911.75,1356
11:43:48,ESX-FUTURE,3354.0,3054,3354.25,419
11:43:49,SP-FUTURE,2911.5,501,2911.75,1068
11:43:49,SP-FUTURE,2911.25,464,2911.5,1105
11:43:50,ESX-FUTURE,3354.25,1519,3354.5,1954
11:43:51,ESX-FUTURE,3354.25,1009,3354.5,2464
11:43:51,SP-FUTURE,2911.25,463,2911.5,1106
11:43:52,SP-FUTURE,2911.25,1186,2911.5,383
11:43:52,ESX-FUTURE,3354.25,963,3354.5,2510
11:43:53,ESX-FUTURE,3352.25,268,3352.5,3205
11:43:53,SP-FUTURE,2911.25,1185,2911.5,384
11:43:54,ESX-FUTURE,3352.25,2477,3352.5,996
11:43:54,ESX-FUTURE,3352.25,2480,3352.5,993
11:43:54,SP-FUTURE,2911.25,678,2911.5,891
11:43:55,ESX-FUTURE,3352.25,2181,3352.5,1292
11:43:56,ESX-FUTURE,3353.0,1166,3353.25,2307
11:43:56,ESX-FUTURE,3353.5,273,3353.75,3200
11:43:56,SP-FUTURE,2911.25,685,2911.5,884
11:43:57,SP-FUTURE,2911.25,518,2911.5,1051
11:43:58,ESX-FUTURE,3353.0,1733,3353.25,1740
11:43:58,SP-FUTURE,2911.5,117,2911.75,1452
11:43:59,SP-FUTURE,2910.75,520,2911.0,1049
11:43:59,SP-FUTURE,2911.25,677,2911.5,892
11:43:59,SP-FUTURE,2911.25,527,2911.5,1042
11:43:59,SP-FUTURE,2911.25,185,2911.5,1384
11:43:59,ESX-FUTURE,3353.0,2242,3353.25,1231
11:44:00,ESX-FUTURE,3353.75,1386,3354.0,2087
